,Theta,Height,Pressure,Density
0,200.0,0.0,100000.0,1.7421602787456445
1,200.0,39.21568627450981,99331.38265531759,1.7338320330589505
2,200.0,78.43137254901961,98665.96463211416,1.7255277205980681
3,200.0,117.64705882352942,98003.7367275553,1.717247318393033
4,200.0,156.86274509803923,97344.6897476475,1.7089908034517924
5,200.0,196.07843137254903,96688.81450724673,1.7007581527601423
6,200.0,235.29411764705884,96036.10183006692,1.6925493432816625
7,200.0,274.5098039215686,95386.54254868854,1.6843643519576532
8,200.0,313.72549019607845,94740.12750456715,1.6762031557070691
9,200.0,352.9411764705883,94096.84754804206,1.6680657314264544
10,200.0,392.15686274509807,93456.69353834492,1.6599520559898777
11,200.0,431.37254901960785,92819.6563436084,1.6518621062488672
12,200.0,470.5882352941177,92185.7268408749,1.6437958590323425
13,200.0,509.8039215686275,91554.89591610519,1.6357532911465509
14,200.0,549.0196078431372,90927.15446418722,1.6277343793749979
15,200.0,588.2352941176471,90302.49338894483,1.6197391004783825
16,200.0,627.4509803921569,89680.90360314657,1.611767431194529
17,200.0,666.6666666666667,89062.37602851448,1.6038193482383183
18,200.0,705.8823529411766,88446.90159573298,1.595894828301622
19,200.0,745.0980392156863,87834.47124445767,1.5879938480532323
20,200.0,784.3137254901961,87225.07592332426,1.5801163841387933
21,200.0,823.529411764706,86618.7065899575,1.572262413180734
22,200.0,862.7450980392157,86015.3542109801,1.5644319117781964
23,200.0,901.9607843137255,85415.00976202173,1.5566248565069671
24,200.0,941.1764705882354,84817.66422772795,1.5488412239194072
25,200.0,980.3921568627452,84223.30860176931,1.5410809905443812
26,200.0,1019.607843137255,83631.93388685041,1.5333441328871877
27,200.0,1058.8235294117649,83043.53109471891,1.525630627429486
28,200.0,1098.0392156862745,82458.09124617468,1.5179404506292264
29,200.0,1137.2549019607843,81875.60537107891,1.5102735789205786
30,200.0,1176.4705882352941,81296.06450836334,1.502629988713857
31,200.0,1215.686274509804,80719.45970603937,1.4950096563954511
32,200.0,1254.9019607843138,80145.78202120731,1.4874125583277513
33,200.0,1294.1176470588236,79575.02252006566,1.4798386708490752
34,200.0,1333.3333333333335,79007.1722779203,1.472287970273594
35,200.0,1372.5490196078433,78442.22237919387,1.4647604328912591
36,200.0,1411.7647058823532,77880.16391743511,1.457256034967727
37,200.0,1450.9803921568628,77320.98799532816,1.4497747527442848
38,200.0,1490.1960784313726,76764.68572470197,1.442316562437775
39,200.0,1529.4117647058824,76211.24822653973,1.4348814402405194
40,200.0,1568.6274509803923,75660.66663098834,1.4274693623202444
41,200.0,1607.843137254902,75112.93207736785,1.4200803048200017
42,200.0,1647.058823529412,74568.03571418095,1.4127142438580955
43,200.0,1686.2745098039218,74025.96869912258,1.405371155528003
44,200.0,1725.4901960784314,73486.7221990894,1.398051015898296
45,200.0,1764.7058823529412,72950.2873901895,1.3907538010125646
46,200.0,1803.921568627451,72416.6554577519,1.3834794868893392
47,200.0,1843.137254901961,71885.8175963363,1.376228049522009
48,200.0,1882.3529411764707,71357.76500974274,1.3689994648787454
49,200.0,1921.5686274509806,70832.4889110213,1.3617937089024215
50,200.0,1960.7843137254904,70309.98052248186,1.3546107575105324
51,200.0,2000.0000000000002,69790.23107570388,1.347450586595113
52,200.0,2039.21568627451,69273.23181154623,1.3403131720226595
53,200.0,2078.4313725490197,68758.97398015697,1.3331984896340467
