,Height,Theta
0,0.0,200.0
1,39.21568627450981,200.0
2,78.43137254901961,200.0
3,117.64705882352942,200.0
4,156.86274509803923,200.0
5,196.07843137254903,200.0
6,235.29411764705884,200.0
7,274.5098039215686,200.0
8,313.72549019607845,200.0
9,352.9411764705883,200.0
10,392.15686274509807,200.0
11,431.37254901960785,200.0
12,470.5882352941177,200.0
13,509.8039215686275,200.0
14,549.0196078431372,200.0
15,588.2352941176471,200.0
16,627.4509803921569,200.0
17,666.6666666666667,200.0
18,705.8823529411766,200.0
19,745.0980392156863,200.0
20,784.3137254901961,200.0
21,823.529411764706,200.0
22,862.7450980392157,200.0
23,901.9607843137255,200.0
24,941.1764705882354,200.0
25,980.3921568627452,200.0
26,1019.607843137255,200.0
27,1058.8235294117649,200.0
28,1098.0392156862745,200.0
29,1137.2549019607843,200.0
30,1176.4705882352941,200.0
31,1215.686274509804,200.0
32,1254.9019607843138,200.0
33,1294.1176470588236,200.0
34,1333.3333333333335,200.0
35,1372.5490196078433,200.0
36,1411.7647058823532,200.0
37,1450.9803921568628,200.0
38,1490.1960784313726,200.0
39,1529.4117647058824,200.0
40,1568.6274509803923,200.0
41,1607.843137254902,200.0
42,1647.058823529412,200.0
43,1686.2745098039218,200.0
44,1725.4901960784314,200.0
45,1764.7058823529412,200.0
46,1803.921568627451,200.0
47,1843.137254901961,200.0
48,1882.3529411764707,200.0
49,1921.5686274509806,200.0
50,1960.7843137254904,200.0
51,2000.0000000000002,200.0
52,2039.21568627451,200.0
53,2078.4313725490197,200.0
54,2117.6470588235297,200.0
55,2156.8627450980393,200.0
56,2196.078431372549,200.0
57,2235.294117647059,200.0
58,2274.5098039215686,200.0
59,2313.7254901960787,200.0
60,2352.9411764705883,200.0
61,2392.1568627450984,200.0
62,2431.372549019608,200.0
63,2470.588235294118,200.0
64,2509.8039215686276,200.0
65,2549.0196078431372,200.0
66,2588.2352941176473,200.0
67,2627.450980392157,200.0
68,2666.666666666667,200.0
69,2705.8823529411766,200.0
70,2745.0980392156866,200.0
71,2784.3137254901962,200.0
72,2823.5294117647063,200.0
73,2862.745098039216,200.0
74,2901.9607843137255,200.0
75,2941.1764705882356,200.0
76,2980.392156862745,200.0
77,3019.6078431372553,200.0
78,3058.823529411765,200.0
79,3098.039215686275,200.0
80,3137.2549019607845,200.0
81,3176.470588235294,200.0
82,3215.686274509804,200.0
83,3254.901960784314,200.0
84,3294.117647058824,200.0
85,3333.3333333333335,200.0
86,3372.5490196078435,200.0
87,3411.764705882353,200.0
88,3450.9803921568628,200.0
89,3490.196078431373,200.0
90,3529.4117647058824,200.0
91,3568.6274509803925,200.0
92,3607.843137254902,200.0
93,3647.058823529412,200.0
94,3686.274509803922,200.0
95,3725.490196078432,200.0
96,3764.7058823529414,200.0
97,3803.921568627451,200.0
98,3843.137254901961,200.0
99,3882.3529411764707,200.0
100,3921.568627450981,200.0
101,3960.7843137254904,200.0
102,4000.0000000000005,200.0
103,4039.21568627451,200.0
104,4078.43137254902,200.0
105,4117.64705882353,200.0
106,4156.862745098039,200.0
107,4196.078431372549,200.0
108,4235.2941176470595,200.0
109,4274.509803921569,200.0
110,4313.725490196079,200.0
111,4352.941176470588,200.0
112,4392.156862745098,200.0
113,4431.372549019608,200.0
114,4470.588235294118,200.0
115,4509.803921568628,200.0
116,4549.019607843137,200.0
117,4588.235294117648,200.0
118,4627.450980392157,200.0
119,4666.666666666667,200.0
120,4705.882352941177,200.0
121,4745.098039215686,200.0
122,4784.313725490197,200.0
123,4823.529411764706,200.0
124,4862.745098039216,200.0
125,4901.9607843137255,200.0
126,4941.176470588236,200.0
127,4980.392156862746,200.0
128,5019.607843137255,200.0
129,5058.823529411765,200.0
130,5098.0392156862745,200.0
131,5137.254901960785,200.0
132,5176.470588235295,200.0
133,5215.686274509804,200.0
134,5254.901960784314,200.0
135,5294.117647058824,200.0
136,5333.333333333334,200.0
137,5372.549019607844,200.0
138,5411.764705882353,200.0
139,5450.980392156863,200.0
140,5490.196078431373,200.0
141,5529.411764705883,200.0
142,5568.6274509803925,200.0
143,5607.843137254902,200.0
144,5647.058823529413,200.0
145,5686.274509803922,200.0
146,5725.490196078432,200.0
147,5764.705882352941,200.0
148,5803.921568627451,200.0
149,5843.137254901962,200.0
150,5882.352941176471,200.0
151,5921.568627450981,200.0
152,5960.78431372549,200.0
153,6000.0,200.0
154,6039.2156862745105,200.0
155,6078.43137254902,200.0
156,6117.64705882353,200.0
157,6156.862745098039,200.0
158,6196.07843137255,200.0
159,6235.2941176470595,200.0
160,6274.509803921569,200.0
161,6313.725490196079,200.0
162,6352.941176470588,200.0
163,6392.156862745099,200.0
164,6431.372549019608,200.0
165,6470.588235294118,200.0
166,6509.803921568628,200.0
167,6549.019607843138,200.0
168,6588.235294117648,200.0
169,6627.450980392157,200.0
170,6666.666666666667,200.0
171,6705.882352941177,200.0
172,6745.098039215687,200.0
173,6784.313725490197,200.0
174,6823.529411764706,200.0
175,6862.745098039216,200.0
176,6901.9607843137255,200.0
177,6941.176470588236,200.0
178,6980.392156862746,200.0
179,7019.607843137255,200.0
180,7058.823529411765,200.0
181,7098.039215686275,200.0
182,7137.254901960785,200.0
183,7176.470588235295,200.0
184,7215.686274509804,200.0
185,7254.901960784314,200.0
186,7294.117647058824,200.0
187,7333.333333333334,200.0
188,7372.549019607844,200.0
189,7411.764705882353,200.0
190,7450.980392156864,200.0
191,7490.196078431373,200.0
192,7529.411764705883,200.0
193,7568.6274509803925,200.0
194,7607.843137254902,200.0
195,7647.058823529413,200.0
