,Pressure,Density
0,100000.0,1.7421602787456445
1,99331.38265531759,1.7338320330589505
2,98665.96463211416,1.7255277205980681
3,98003.7367275553,1.717247318393033
4,97344.6897476475,1.7089908034517924
5,96688.81450724673,1.7007581527601423
6,96036.10183006692,1.6925493432816625
7,95386.54254868854,1.6843643519576532
8,94740.12750456715,1.6762031557070691
9,94096.84754804206,1.6680657314264544
10,93456.69353834492,1.6599520559898777
11,92819.6563436084,1.6518621062488672
12,92185.7268408749,1.6437958590323425
13,91554.89591610519,1.6357532911465509
14,90927.15446418722,1.6277343793749979
15,90302.49338894483,1.6197391004783825
16,89680.90360314657,1.611767431194529
17,89062.37602851448,1.6038193482383183
18,88446.90159573298,1.595894828301622
19,87834.47124445767,1.5879938480532323
20,87225.07592332426,1.5801163841387933
21,86618.7065899575,1.572262413180734
22,86015.3542109801,1.5644319117781964
23,85415.00976202173,1.5566248565069671
24,84817.66422772795,1.5488412239194072
25,84223.30860176931,1.5410809905443812
26,83631.93388685041,1.5333441328871877
27,83043.53109471891,1.525630627429486
28,82458.09124617468,1.5179404506292264
29,81875.60537107891,1.5102735789205786
30,81296.06450836334,1.502629988713857
31,80719.45970603937,1.4950096563954511
32,80145.78202120731,1.4874125583277513
33,79575.02252006566,1.4798386708490752
34,79007.1722779203,1.472287970273594
35,78442.22237919387,1.4647604328912591
36,77880.16391743511,1.457256034967727
37,77320.98799532816,1.4497747527442848
38,76764.68572470197,1.442316562437775
39,76211.24822653973,1.4348814402405194
40,75660.66663098834,1.4274693623202444
41,75112.93207736785,1.4200803048200017
42,74568.03571418095,1.4127142438580955
43,74025.96869912258,1.405371155528003
44,73486.7221990894,1.398051015898296
45,72950.2873901895,1.3907538010125646
46,72416.6554577519,1.3834794868893392
47,71885.8175963363,1.376228049522009
48,71357.76500974274,1.3689994648787454
49,70832.4889110213,1.3617937089024215
50,70309.98052248186,1.3546107575105324
51,69790.23107570388,1.347450586595113
52,69273.23181154623,1.3403131720226595
53,68758.97398015697,1.3331984896340467
54,68247.44884098327,1.3261065152444458
55,67738.64766278135,1.319037224643244
56,67232.56172362632,1.3119905935939593
57,66729.1823109222,1.30496659783416
58,66228.50072141195,1.2979652130753796
59,65730.50826118747,1.2909864150030332
60,65235.19624569962,1.2840301792763327
61,64742.555999768396,1.2770964815282022
62,64252.57885759302,1.2701852973651935
63,63765.2561627621,1.2632966023673984
64,63280.57926826385,1.2564303720883645
65,62798.539536496275,1.249586582055007
66,62319.12833927747,1.2427652077675215
67,61842.33705785591,1.2359662246992973
68,61368.15708292077,1.229189608296828
69,60896.579814612305,1.2224353339796246
70,60427.5966625322,1.215703377140123
71,59961.1990457541,1.2089937131435993
72,59497.37839283396,1.2023063173280748
73,59036.126141820634,1.195641165004228
74,58577.43374026636,1.1889982314553034
75,58121.292645237365,1.1823774919370182
76,57667.69432332446,1.175778921677473
77,57216.630250653674,1.1692024958770553
78,56768.091912896954,1.1626481897083498
79,56322.07080528285,1.1561159783160426
80,55878.55843260729,1.149605836816828
81,55437.54630924437,1.1431177402993131
82,54999.02595915713,1.1366516638239224
83,54562.9889159085,1.1302075824228026
84,54129.426722672106,1.123785471099725
85,53698.33093224327,1.117385304829991
86,53269.69310704995,1.1110070585603309
87,52843.50481916377,1.1046507072088092
88,52419.75765031104,1.0983162256647243
89,51998.44319188385,1.0920035887885091
90,51579.553044951244,1.0857127714116326
91,51163.078820270275,1.0794437483364976
92,50749.01213829732,1.0731964943363421
93,50337.34462919926,1.066970984155136
94,49928.067932864746,1.0607671925074789
95,49521.17369891556,1.0545850940784989
96,49116.653586717955,1.0484246635237486
97,48714.49926539404,1.0422858754691005
98,48314.70241383323,1.0361687045106427
99,47917.25472070373,1.030073125214575
100,47522.147884464044,1.0239991121171017
101,47129.37361337455,1.017946639724326
102,46738.92362550906,1.0119156825121427
103,46350.78964876652,1.0059062149261309
104,45964.963420882654,0.999918211381445
105,45581.43668944169,0.9939516462627062
106,45200.20121188815,0.9880064939238935
107,44821.24875553864,0.9820827286882328
108,44444.5710975937,0.9761803248480858
109,44070.16002514975,0.9702992566648391
110,43698.00733521093,0.9644394983687911
111,43328.10483470117,0.9586010241590404
112,42960.44434047616,0.9527838082033708
113,42595.01767933546,0.9469878246381378
114,42231.81668803461,0.9412130475681537
115,41870.83321329723,0.9354594510665711
116,41512.05911182728,0.9297270091747671
117,41155.486250321286,0.9240156959022268
118,40801.10650548066,0.918325485226424
119,40448.911764023986,0.9126563510927036
120,40098.89392269943,0.9070082674141621
121,39751.04488829719,0.9013812080715279
122,39405.356577661914,0.8957751469130394
123,39061.820917705314,0.8901900577543255
124,38720.429845418636,0.8846259143782806
125,38381.17530788533,0.8790826905349438
126,38044.0492622937,0.873560359941374
127,37709.04367594965,0.8680588962815259
128,37376.15052628938,0.8625782732061233
129,37045.361800892235,0.8571184643325349
130,36716.66949749357,0.8516794432446454
131,36390.06562399761,0.8462611834927286
132,36065.542198490475,0.8408636585933194
133,35743.09124925311,0.8354868420290823
134,35422.70481477439,0.8301307072486837
135,35104.3749437642,0.8247952276666587
136,34788.09369516662,0.8194803766632804
137,34473.85313817309,0.8141861275844268
138,34161.645352235704,0.8089124537414463
139,33851.46242708049,0.8036593284110246
140,33543.296462720806,0.7984267248350481
141,33237.13956947072,0.7932146162204683
142,32932.98386795849,0.7880229757391642
143,32630.821489140082,0.7828517765278045
144,32330.644574312737,0.7777009916877078
145,32032.445275128634,0.7725705942847042
146,31736.215753608507,0.7674605573489933
147,31441.94818215542,0.7623708538750028
